Factorisations Of Cunningham Numbers C-(3,n) = 3^n - 1

Canonical Representation Of Factorisations

1. Factorisations are given from smallest to largest factor, with a period '.'
   separating factors.
2. Multiplicity of factors is indicated with the carat '^' in ascii tradition
   for the text version of the tables but not the HTML version.
3. The backslash '\' is used to indicate continuation of a line, the decimal
   digit representation of the number does not stop but continues on the next
   line as if no break had occured. This can sometimes make for bad breaks, but
   such is life.

Notation Used In The Tables

1. #Fac is the number of (non distinct) prime factors in an expression.
2. A plussed #Fac means that more prime factors exist but they are unknown due
   to an unfactored composite in the expression.

========================================================================================================================

   n  #Fac  Factorisation
   1     1  2
   2     3  2^3
   3     2  2.13
   4     5  2^4.5
   5     3  2.11^2
   6     5  2^3.7.13
   7     2  2.1093
   8     7  2^5.5.41
   9     3  2.13.757
  10     6  2^3.11^2.61
  11     3  2.23.3851
  12     8  2^4.5.7.13.73
  13     2  2.797161
  14     5  2^3.547.1093
  15     5  2.11^2.13.4561
  16    10  2^6.5.17.41.193
  17     3  2.1871.34511
  18     8  2^3.7.13.19.37.757
  19     3  2.1597.363889
  20    10  2^4.5^2.11^2.61.1181
  21     4  2.13.1093.368089
  22     7  2^3.23.67.661.3851
  23     3  2.47.1001523179
  24    11  2^5.5.7.13.41.73.6481
  25     5  2.11^2.8951.391151
  26     5  2^3.398581.797161
  27     6  2.13.109.433.757.8209
  28     9  2^4.5.29.547.1093.16493
  29     4  2.59.28537.20381027
  30    11  2^3.7.11^2.13.31.61.271.4561
  31     4  2.683.102673.4404047
  32    12  2^7.5.17.41.193.21523361
  33     5  2.13.23.3851.2413941289
  34     8  2^3.103.307.1021.1871.34511
  35     6  2.11^2.71.1093.2664097031
  36    12  2^4.5.7.13.19.37.73.757.530713
  37     3  2.13097927.17189128703
  38     7  2^3.1597.2851.101917.363889
  39     7  2.13^2.313.6553.7333.797161
  40    13  2^5.5^2.11^2.41.61.1181.42521761
  41     4  2.83.2526913.86950696619
  42    11  2^3.7^2.13.43.547.1093.2269.368089
  43     3  2.431.380808546861411923
  44    11  2^4.5.23.67.661.3851.5501.570461
  45     9  2.11^2.13.181.757.1621.4561.927001
  46     6  2^3.47.1001523179.23535794707
  47     5  2.1223.21997.5112661.96656723
  48    17  2^6.5.7.13.17.41.73.97.193.577.769.6481
  49     7  2.491.1093.4019.8233.51157.131713
  50    10  2^3.11^2.61.151.8951.391151.22996651
  51     6  2.13.1871.12853.34511.99810171997
  52     9  2^4.5.53.398581.797161.4795973261
  53     4  2.107.24169.3747607031112307667
  54    13  2^3.7.13.19.37.109.433.757.8209.19441.19927
  55     8  2.11^3.23.1321.3851.560088668384411
  56    13  2^5.5.29.41.547.1093.16493.430697.647753
  57     7  2.13.229.1597.248749.363889.1824179209
  58     9  2^3.59.523.6091.28537.5385997.20381027
  59     3  2.14425532687.489769993189671059
  60    17  2^4.5^2.7.11^2.13.31.61.73.271.1181.4561.47763361
  61     3  2.603901.105293313660391861035901
  62     8  2^3.683.6883.102673.4404047.22434744889
  63     6  2.13.757.1093.368089.144542918285300809
  64    14  2^8.5.17.41.193.21523361.926510094425921
  65     7  2.11^2.131.797161.3701101.110133112994711
  66    12  2^3.7.13.23.67.661.3851.25411.176419.2413941289
  67     4  2.221101.441019876741.475384700124973
  68    12  2^4.5.103.307.1021.1871.34511.956353.1743831169
  69     6  2.13.47.277.1001523179.2461243576713869557
  70    11  2^3.11^2.61.71.547.1093.2664097031.374857981681
  71     2  2.3754733257489862401973357979128773
  72    16  2^5.5.7.13.19.37.41.73.757.6481.530713.282429005041
  73     5  2.11243.20149.15768033143.9460375336977361
  74     8  2^3.18427.107671.13097927.56737873.17189128703
  75    10  2.11^2.13.601.4561.8951.9601.391151.2098303812601
  76    11  2^4.5.1597.2851.101917.363889.5301533.25480398173
  77     7  2.23.1093.3851.51457561.7151459701.76831835389
  78    15  2^3.7.13^2.79.157.313.2887.6553.7333.10141.398581.797161
  79     4  2.432853009.392038110671.145171177264407947
  80    18  2^6.5^2.11^2.17.41.61.193.1181.14401.42521761.128653413121
  81     9  2.13.109.433.757.3889.8209.1190701.12557612956332313
  82     8  2^3.83.33703.2526913.86950696619.270547105429567
  83     5  2.167.12119.1036745531.950996059627210897943351
  84    18  2^4.5.7^2.13.29.43.73.547.1093.2269.2857.16493.368089.109688713
  85     7  2.11^2.1871.34511.2663568851051.862970652262943171
  86     6  2^3.431.380808546861411923.82064241848634269407
  87     8  2.13.59.28537.74821.20381027.32234893.150224123975857
  88    16  2^5.5.23.41.67.89.661.3851.5501.570461.2382953.56625998353
  89     4  2.179.1611479891519807.5042939439565996049162197
  90    19  2^3.7.11^2.13.19.31.37.61.181.271.757.1621.4561.387631.755551.927001
  91     5  2.1093.797161.4011586307.3745603812007166116831643
  92    10  2^4.5.47.12553493.1001523179.23535794707.70601370627701
  93     7  2.13.683.1117.102673.4404047.26273701844015319144827917
  94    10  2^3.1223.16921.21997.256057.5112661.96656723.1534179947851
  95     7  2.11^2.191.1597.363889.78958087694609321439660131899631
  96    21  2^7.5.7.13.17.41.73.97.193.577.769.6481.76801.21523361.24127552321
  97     4  2.76631.2549755542947.48845962828028421155731228333
  98    12  2^3.491.547.1093.4019.8233.51157.131713.857643277.127522693159
  99     8  2.13.23.757.3851.3186217.2413941289.12812432238302009985937
 100    18  2^4.5^3.11^2.61.101.151.1181.8951.391151.394201.22996651.61070817601
 101     4  2.33034273.465092326319.50316775668019759306202964023
 102    15  2^3.7.13.103.307.613.1021.1871.12853.30091.34511.129159847.99810171997
 103     2  2.6957596529882152968992225251835887181478451547013
 104    13  2^5.5.41.53.398581.797161.2093124281.4795973261.37644053098601
 105    13  2.11^2.13.71.421.1093.4561.6301.368089.1616161.2664097031.26751945361
 106     8  2^3.107.24169.78719947.61557605176233223.3747607031112307667
 107     4  2.50077.229837.48965028505045123993421250406516036571557
 108    18  2^4.5.7.13.19.37.73.109.433.757.8209.19441.19927.530713.150094634909578633
 109     6  2.1091.521402591.3499901929.239789806103.10624346875389299603
 110    15  2^3.11^3.23.61.67.661.1321.3851.659671.24472341743191.560088668384411
 111     7  2.13.13097927.18702169.119779213.17189128703.6962353413269964253
 112    19  2^6.5.17.29.41.113.193.547.1093.16493.19489.430697.647753.36214795668330833
 113     5  2.227.1583.2172539.526256453012063980796131127321354599535039
 114    15  2^3.7.13.229.1597.2851.3079.53923.101917.248749.363889.1162320517.1824179209
 115     8  2.11^2.47.1975931.1001523179.6273542442241.52370346649565455417091
 116    13  2^4.5.59.523.6091.12413.28537.5385997.20381027.37945127666529000523013
